2018rank,City,State,2018estimate,2010Census,Change,2016 land area (Sq.mi),2016 land area (Sq.Km),2016 population density (per Sq.mi),population density (per Sq.Km),Location,Country,Settled,Named for,Type,Body,Mayor,Total (sq.mi),Land (sq.mi),Water (sq.mi),Metro,Elevation (in ft),Estimate,Density (per sq.mi),Demonym,Time zone,Summer ,ZIP Codes,FIPS code,Website,CSA,Incorporated,Urban (sq.mi),Area codes,GNIS feature IDs,Counties,City Area (sq.mi),Commuter Rail,Interstates,State Routes,Founded,City Manager,City Council,Primary Airport
151,Pembroke Pines,Florida,"172,374","154,019",+11.92%,33.0,85.5,"5,109","1,973",26°01′16″N 80°20′25″W﻿ ,United States,,,Commission-Manager,,Frank C. Ortis (D),34.97,33.03,1.94,,7 ft,"170,712","5,104.52",,UTC−5 (Eastern (EST)),UTC−4 (EDT),"33023-33029, 33330-33332",12-55775,City of Pembroke Pines,,"January 16, 1960",,"954, 754",0288686,Broward,,,,,,Charles F. Dodge,,
152,Peoria,Arizona,"172,259","154,065",+11.81%,175.7,455.1,934,361,33°47′10″N 112°18′29″W﻿ ,United States,,,,,Cathy Carlat (R),,175.68,3.42,"4,574,531","1,142 ft","168,181",934.49,,UTC−7 (MST (no DST)),,"85345, 85381, 85382, 8538385373 (Sun City)85387 (Morristown)",04-54050,http://www.peoriaaz.gov/,,,,623 and 928,9318,"Maricopa, Yavapai",179.10,,,,,,,
153,Eugene,Oregon,"171,245","156,185",+9.64%,44.1,114.2,"3,777","1,458",44°03′24″N 123°06′58″W﻿ ,United States,,,Council-manager,,Lucy Vinis (D),,43.72,0.02,,430 ft,"166,575","3,572.4",Eugenean,UTC-8 (PST),UTC-7 (PDT),"97401–97405, 97408, 97440",41-23850,www.eugene-or.gov,,"October 17, 1862","247,421",458 and 541,1120527,Lane,43.74,,,,1846,Jon Ruiz,,
154,Corona,California,"168,819","152,374",+10.79%,39.5,102.3,"4,222","1,630",33°51′43″N 117°33′56″W﻿ ,United States,,,Council-manager,,Jason Scott,,39.47,0.08,"4,224,851",679 ft,"167,836","4,225.29",,UTC-8 (Pacific),UTC-7 (PDT),92877–92883,06-16350,www.discovercorona.com,,"July 13, 1896",,951,"1652691, 2410232",Riverside,39.55,,,,,,,Ontario International AirportONT (Major/International)
155,Cary,North Carolina,"168,160","135,234",+24.35%,56.5,146.3,"2,873","1,109",35°46′51″N 78°48′48″W﻿ ,United States,,Samuel Fenton Cary,,,Harold Weinbrecht (D),59.42,58.33,1.09,,495 ft,"162,320","2,300",Caryite,UTC-5 (EST),UTC-4 (EDT),,37-10740,www.townofcary.org,,"April 3, 1871",,"919, 984",1019552,"Chatham, Wake",,,,,1750,,,
156,Springfield,Missouri,"168,122","159,498",+5.41%,82.3,213.2,"2,033",785,37°11′39″N 93°17′29″W﻿ ,United States,,,Council-manager,,Ken McClure,,81.72,0.59,"3,021","1,299 ft","168,122","1,900",,UTC−6 (CST),UTC−5 (CDT),65800-65899,29-70000,www.springfieldmo.gov,,1838,"273,724",417,0735864,"Greene, Christian",82.31,,,,1835,,,
157,Fort Collins,Colorado,"167,830","143,986",+16.56%,55.8,144.5,"2,943","1,136",40°32′54″N 105°03′53″W﻿ ,United States,,United States Army colonel William O. Collins,Home Rule Municipality,,Wade Troxell,57.05,55.82,1.23,,"5,003 ft","164,207","2,941.67",,UTC−7 (MST),UTC−6 (MDT),80521–80528,08-27425,fcgov.com,,"February 12, 1883",,970,0204673,Larimer,,,,,,Darin Atteberry,,
158,Jackson,Mississippi,"164,422","173,514",−5.24%,111.0,287.5,"1,524",588,32°18′57″N 90°12′46″W﻿ ,United States,,Andrew Jackson,Mayor–Council,,Chokwe Antar Lumumba (D),,111.07,2.17,"576,382",279 ft,"166,965","1,503.28",Jacksonian,UTC−6 (CST),UTC−5 (CDT),39200-39299,28-36000,www.jacksonms.gov,,1821,"351,478","601, 769",0711543,"Hinds, Madison, Rankin",,,,,,,,
159,Alexandria,Virginia,"160,530","139,966",+14.69%,15.0,38.8,"10,387","4,010",38°49′12″N 77°05′03″W﻿ ,United States,,,Council-manager,,Justin Wilson (D),15.35,14.93,0.41,,39 ft,"160,530","10,716.15",Alexandrian,UTC-5 (EST),UTC-4 (EDT),"22301 to 22315, 22320 to 22336",51-01000,www.alexandriava.gov,,1779,,"571, 703",1492456,Independent city,,,,,1749,,,
160,Hayward,California,"159,620","144,186",+10.70%,45.5,117.8,"3,493","1,349",37°37′43″N 122°06′09″W﻿ ,United States,,,Council-Manager,,Barbara Halliday,,45.54,18.29,"7,468,390",105 ft,"158,937","3,490.21",,UTC−8 (Pacific),UTC−7 (PDT),"94540–94546, 94552, 94557",06-33000,www.hayward-ca.gov,,"March 11, 1876",,510,"277607, 2410724",Alameda,63.82,,,,,,,
161,Lancaster,California,"159,053","156,633",+1.55%,94.3,244.2,"1,698",656,34°41′37″N 118°10′31″W﻿ ,United States,,,Council-manager,,R. Rex Parris,94.56,94.30,0.26,,"2,359 ft","160,316","1,700.06",,UTC-8 (Pacific),UTC-7 (PDT),"93534–93536, 93539, 93584",06-40130,www.cityoflancasterca.org,,"November 22, 1977",,661,"1652741, 2411620",Los Angeles,,(planned),,,,,,Los Angeles International AirportLAX (Major/International)
162,Lakewood,Colorado,"156,798","142,980",+9.66%,42.9,111.1,"3,599","1,390",39°41′56″N 105°07′03″W﻿ ,United States,,,Home Rule Municipality,,Adam Paul,,42.87,1.18,"2,814,330","5,518 ft","154,393","3,601.25",,UTC-7 (MST),UTC-6 (MDT),"Denver 80214-80215, 80227, 80226-80228, 80232, 80235-80236Golden 80401Littleton 80123",08-43000,City of Lakewood,,1969,,Both 303 and 720,0181620,Jefferson County,,,,,1889,,,
163,Clarksville,Tennessee,"156,794","132,929",+17.95%,98.3,254.6,"1,529",590,36°33′59″N 87°20′43″W﻿ ,United States,,,,,Joe Pitts,95.5,94.9,0.7,,476 ft,"156,794",,,UTC−6 (CST),UTC−5 (CDT),37040-37044,47-15160,cityofclarksville.com,,1807,,931,1269467,Montgomery,,,,,1785,,,
164,Palmdale,California,"156,667","152,750",+2.56%,106.0,274.5,"1,484",573,34°35′28″N 118°06′19″W﻿ ,United States,,,Council-manager,"City council:Steve Hofbauer(mayor),Austin Bishop, Dist-1,Steve Hofbauer, Dist-2,Laura Bettencourt, Dist-3,Juan Carillo, Dist-4",,,105.97,0.24,"12,828,837","2,657 ft","157,519","1,486.45",Palmdalite,UTC−8 (Pacific Time Zone),UTC−7 (PDT),"93550–93552, 93590, 93591, 93599",06-55156,www.cityofpalmdale.org,,"August 24, 1962",,661,"1652769, 2411359",Los Angeles,106.21,,,,,,,Los Angeles International AirportLAX (Major/International)
165,Salinas,California,"156,259","150,441",+3.87%,23.6,61.1,"6,662","2,572",36°41′25″N 121°38′01″W﻿ ,United States,,,Council-Manager,,Joe Gunter,,23.61,0.04,,52 ft,"157,218","6,658.96",,UTC−8 (Pacific),UTC−7 (PDT),"93901–93902, 93905–93907, 93912, and 93915",06-64224,www.cityofsalinas.org,,"March 4, 1874",,831,"277589, 2411768",Monterey,23.65,,,,,,,
166,Springfield,Massachusetts,"155,032","153,060",+1.29%,31.9,82.6,"4,830","1,860",42°06′56″N 72°32′24″W﻿ ,United States,,"Springfield, Essex",Mayor-council city,,Domenic Sarno (D),,31.9,1.2,"692,942",70 ft,"155,032","4,803",SpringfieldianSpringfielder,UTC−5 (Eastern),UTC−4 (Eastern),"01101, 01103–01105, 01107–01109, 01118-01119, 01128–01129, 01151",25-67000,www.springfield-ma.gov,,"May 25, 1852",,413,0609092,Hampden,33.1,,,,,,,Bradley International Airport
167,Hollywood,Florida,"154,823","140,768",+9.98%,27.3,70.7,"5,568","2,150",26°01′52″N 80°09′53″W﻿ ,United States,,,Commission-manager,,Josh Levy,30.73,27.27,3.45,,9 ft,"153,627","5,573.00",,UTC−5 (EST),UTC−4 (EDT),"33004, 33009, 33019-33021, 33023, 33024, 33312, 33314, 33316",12-32000,www.HollywoodFL.org,,"November 28, 1925",,"954, 754",0284176,Broward,,,,,"February 18, 1921",Wazir Ishmael,,
168,Pasadena,Texas,"153,219","149,043",+2.80%,43.5,112.7,"3,525","1,361",29°39′31″N 95°09′02″W﻿ ,United States,,,Mayor-Council,,Jeff Wagner,,44.2,0.4,"5,628,101",30 ft,,"3,208",,UTC−6 (CST),UTC−5 (CDT),"77501-77507, 77059, 77586",48-56000,ci.pasadena.tx.us,,"December 22, 1923 and December 26, 1928",,"713, 281, 346, and 832",1343631,Harris,44.5,,,,1893,,Ornaldo YbarraBruce LeamonPat Van HouteCody Ray WheelerCary BassSammy CasadosDarrell Morrison,
169,Sunnyvale,California,"153,185","140,081",+9.35%,22.0,57.0,"6,944","2,681",37°23′09″N 122°01′35″W﻿ ,United States,,,Council-manager,,Larry Klein,22.69,21.98,0.70,,125 ft,"152,771","6,949.51",,UTC−8 (PST),UTC−7 (PDT),94085–94090,06-77000,sunnyvale.ca.gov,,"December 24, 1912",,408/669 and 650,"1656344, 2412009",Santa Clara,,,,,,Kent Steffens,,
170,Macon,Georgia,"153,095","91,351",+67.59%,249.3,645.7,612,236,32°48′32″N 83°41′39″W﻿ ,United States,,,,,Robert Reichert (D),,6472,3.22,"228,914",116 m,,,Maconites,UTC−5 (EST),UTC−4 (EDT),31200–31299,13-49000,maconbibb.us,"420,693 (97th)",,,478,0332301,Bibb,,,,,,,,
171,Kansas City,Kansas,"152,958","145,786",+4.92%,124.8,323.2,"1,216",470,39°07′21″N 94°44′30″W﻿ ,United States,,"Kansas City, Missouri",,,David Alvey,128.38,124.81,3.57,,869 ft,"151,709","1,100",,UTC−6 (CST),UTC−5 (CDT),"66101-66113, 66115, 66117-66119, 66160",20-36000,wycokck.org,,"1872, 1886",,913,,Wyandotte,,,,,,,,
172,Pomona,California,"152,361","149,058",+2.22%,23.0,59.6,"6,630","2,560",34°03′31″N 117°45′40″W﻿ ,United States,1830,"Pomona, a Roman goddess of fruitful abundance",Council-Manager,,,22.96,22.95,0.01,,850 ft,"152,494","6,643.75",,UTC−8 (Pacific),UTC−7 (PDT),91766–91768,06-58072,www.ci.pomona.ca.us,,"January 6, 1888",,909,"1661247, 2411454",Los Angeles,,,,,,,,Ontario International AirportONT (Major/International)
173,Escondido,California,"152,213","143,911",+5.77%,37.1,96.1,"4,087","1,578",33°07′59″N 117°04′26″W﻿ ,United States of America,,,Council-Manager,,Paul McNamara (D) ,37.25,37.07,0.18,,646 ft,"151,613","4,089.91",,UTC−8 (Pacific),UTC−7 (PDT),"92025–92027, 92029",06-22804,www.escondido.org,,"October 8, 1888 (1888-10-08)",,442/760,"1652706, 2410455",San Diego,,,,,,,,
174,Killeen,Texas,"149,103","127,921",+16.56%,53.5,138.6,"2,680","1,030",31°04′40″N 97°43′55″W﻿ ,United States,,,Council-Manager,,,54.2,53.6,0.7,,890 ft,,"2,400",,UTC-6 (Central (CST)),UTC-5 (CDT),"76540, 76541, 76542, 76543, 76548, 76549",48-39148,www.killeentexas.gov,,,,254,1360642,Bell,,,,,,Ron Olson,Mayor Jose SegarraMayor Pro Tem Jim KilpatrickJonathan OkrayGregory JohnsonJuan RiveraDebbie Nash-KingShirley FlemingSteve Harris,
175,Naperville,Illinois,"148,304","141,853",+4.55%,38.7,100.2,"3,802","1,468",41°44′57″N 88°09′43″W﻿ ,United States,1831,,Council–manager,,Steve Chirico (R),39.24,38.67,0.57,,702 ft,"147,682","3,804.55",Napervillian,UTC−6 (CST),UTC−5 (CDT),,17-51622,www.naperville.il.us,,1857 (Village)1890 (City),,630 and 331,,"DuPage, Will",,,,,,,,
176,Joliet,Illinois,"148,099","147,433",+0.45%,64.4,166.8,"2,302",889,41°31′04″N 88°08′56″W﻿ ,United States,1833,,Council-manager,,Bob O'Dekirk (R),65.09,64.43,0.66,,614 ft,"148,462","2,301.10",Jolietan,UTC-6 (CST),UTC-5 (CDT),,17-38570,www.cityofjoliet.info,,1852,,"815, 779",,"Will, Kendall",,,,,,,,
177,Bellevue,Washington,"147,599","122,363",+20.62%,33.5,86.8,"4,221","1,630",47°35′52″N 122°09′23″W﻿ ,United States,,,,,John Chelminiak,,33.46,0.25,"3,733,580",85 ft,"144,444","4,316.79",,UTC−8 (PST),UTC−7 (PDT),98004-98009,53-05210,www.bellevuewa.gov,,"March 21, 1953",,425,,King,33.71,,,,,,,
178,Rockford,Illinois,"146,526","152,871",−4.15%,63.5,164.5,"2,325",898,42°15′32″N 89°03′53″W﻿ ,United States,,,,,Thomas McNamara (D),,63.47,1.01,"344,623",728 ft,"147,051","2,326.35",,UTC−6 (CST),UTC−5 (CDT),,17-65000,rockfordil.gov,,"1839 (as a town), 1852 (as a city)",,"815, 779",,"Winnebago, Ogle",64.48,,,,,,,
179,Savannah,Georgia,"145,862","136,286",+7.03%,103.6,268.3,"1,417",547,32°00′09″N 81°09′13″W﻿ ,United States,,,,,Eddie DeLoach (R),,103.1,5.6,"389,494",49 ft,"145,862","1,321",Savannahian,UTC−5 (EST),UTC−4 (EDT),31401-31499,13-69000,savannahga.gov,,,,912,0322590,Chatham,108.7,,,,,Rob Hernandez,,
180,Paterson,New Jersey,"145,627","146,199",−0.39%,8.4,21.8,"17,500","6,800",40°54′53″N 74°09′46″W﻿ ,United States,,William Paterson,Faulkner Act Mayor-Council,City Council,Andre Sayegh,8.704,8.428,0.276,,112 ft,"145,647","17,346.3",,UTC−5 (Eastern (EST)),UTC−4 (Eastern (EDT)),"07501-07505, 07508-07514, 07522, 07524, 07533, 07538, 07543, 07544",3403157000,www.patersonnj.gov,,"April 11, 1831 (as township)",,201 and 973,0885343,Passaic,,,,,,,,
181,Torrance,California,"145,182","145,438",−0.18%,20.5,53.1,"7,180","2,770",33°50′06″N 118°20′29″W﻿ ,United States,,Jared Sidney Torrance,Council-manager,,,20.55,20.48,0.07,,89 ft,"147,195","7,187.96",,UTC−8 (Pacific),UTC−7 (PDT),90501–90510,06-80000,www.torranceca.gov,,"May 12, 1921",,310/424,"1652802, 2412087",Los Angeles,,,,,,,,Los Angeles International AirportLAX (Major/International)
182,Bridgeport,Connecticut,"144,900","144,229",+0.47%,16.1,41.7,"9,064","3,500",41°11′15″N 73°11′45″W﻿ ,United States,,,Mayor-council,,Joe Ganim (D),,16.0,3.4,"939,904",3 ft,"146,579","8,720.9",,UTC-5 (Eastern),UTC-4 (Eastern),"06601, 06602, 06604, 06605, 06606, 06607, 06608, 06610, 06650, 06673, 06699",09-08000,City of Bridgeport,,1821,"9,014.3",203/475,0205720,Fairfield,19.4,,,,,,,
183,McAllen,Texas,"143,433","129,877",+10.44%,58.4,151.3,"2,435",940,26°13′56″N 98°14′47″W﻿ ,United States,,,Council-Manager,,,,48.3,0.3,"774,769",121.4 ft,"142,696","2,994",,UTC−6 (CST),UTC−5 (CDT),78501-78504,48-45384,www.mcallen.net,,,,956,1374829,Hidalgo,48.6,,,,,"Roel ""Roy"" Rodriguez",Mayor Jim DarlingJavier Villalobos (District 1) Joaquin J. Zamora (District 2)Julian Omar Quintanilla (District 3) Tania Ramirez (District 4)John Ingram (District 5)Veronica Whitacre (District 6),
184,Mesquite,Texas,"142,816","139,824",+2.14%,47.2,122.2,"3,045","1,176",32°45′46″N 96°35′20″W﻿ ,United States,,,Council-Manager,,,46.2,46.0,0.20,,495 ft,"143,949","3,128",,UTC-6 (CST),UTC-5 (CDT),"75149, 75150, 75181",48-47892,cityofmesquite.com,,,,"214, 469, 972",1341400,"Dallas, Kaufman",,,,,,Cliff Keheley,,
185,Syracuse,New York,"142,749","145,170",−1.67%,25.0,64.7,"5,735","2,214",43°02′28″N 76°08′37″W﻿ ,United States,,"Syracuse, Sicily",Mayor-Council,,Ben Walsh (I),,25.05,0.56,"662,577",380 ft,"143,396","5,724.82",Syracusan,UTC−5 (Eastern),UTC−4 (Eastern Daylight Time),,36-73000,www.syrgov.net,,1825 (village),,"315, 680",0966966,Onondaga,25.61,,,,,,,
186,Midland,Texas,"142,344","111,147",+28.07%,74.4,192.7,"1,809",698,32°01′29″N 102°06′49″W﻿ ,United States,,,Council-Manager,,Jerry Morales,,71.3,0.2,"295,987","2,782 ft",,"1,558.9",Midlander,UTC−6 (CST),UTC−5 (CDT),79701-12,48-48072,midlandtexas.gov,,,,432,1341547,"Midland, Martin",71.5,,,,,Courtney Sharp,"Council members
Scott DuffordSharla HotchkissJ. Ross LacyJohn B. Love IIISpencer RobnettJeff Sparks",
187,Pasadena,California,"141,371","137,122",+3.10%,23.0,59.6,"6,176","2,385",34°09′38″N 118°08′23″W﻿ ,United States,,,City council/manager,,Terry Tornek,23.13,22.98,0.15,,863 ft,"142,647","6,181.05",Pasadenan,UTC−8 (Pacific),UTC−7 (PDT),"91101–91110, 91114–91118, 91121, 91123–91126, 91129, 91182, 91184, 91185, 91188, 91189, 91199",06-56000,www.cityofpasadena.net,,"June 19, 1886",,"323, 626","1664804, 2411379",Los Angeles,,,,,,Steve Mermell,Tyron HamptonMargaret McAustinJohn J. KennedyGene MasudaVictor M. GordoSteve Madison,Los Angeles International AirportLAX (Major/International)
188,Murfreesboro,Tennessee,"141,344","108,755",+29.97%,55.9,144.8,"2,360",910,35°51′08″N 86°24′58″W﻿ ,United States,1811,,Council–Manager,,Shane McFarland (R),,58.32,0.15,,610 ft,"141,344","1,900",,UTC−6 (CST),UTC−5 (CDT),37127-37133,47-51560,City of Murfreesboro,,1817,"133,228","615, 629",1295105,Rutherford,58.47,,,,,Craig Tindall,,
189,Miramar,Florida,"140,823","122,041",+15.39%,29.4,76.1,"4,709","1,818",25°58′37″N 80°20′09″W﻿ ,United States,,,Commission-Manager,,Wayne M. Messam,,29.38,1.90,"5,762,717",9 ft,"140,328","4,712.36",,UTC-5 (EST),UTC-4 (EDT),"33023, 33025, 33027, 33029",12-45975,www.miramarfl.gov,,"May 26, 1955",,"754, 954",0286974,Broward,31.28,,,,,Vernon E. Hargray,,
190,Dayton,Ohio,"140,640","141,527",−0.63%,55.7,144.3,"2,522",974,39°46′39″N 84°11′59″W﻿ ,United States,,,,,Nan Whaley (D),,55.65,0.85,"799,232",738 ft,"140,599","2,543.2",,UTC-5 (EST),UTC-4 (EDT),"ZIP codes
45400-45406, 45408-45410, 45412-45420, 45422-45424, 45426-45435, 45437, 45439-45441, 45448-45449, 45454, 45458-45459, 45469-45470, 45475, 45479, 45481-45482, 45490",39113,daytonohio.gov,,,"724,091",937,1064514,Montgomery,56.50,,,,1796,,,
191,Fullerton,California,"139,640","135,161",+3.31%,22.4,58.0,"6,282","2,425",33°53′09″N 117°55′41″W﻿ ,United States,,,Council-Manager,,,22.44,22.43,0.01,,164 ft,"140,721","6,272.95",Fullertonian,UTC-8 (PST),UTC-7 (PDT),92831-92832,06-28000,www.ci.fullerton.ca.us,,"February 15, 1904",,"562, 657/714","1660658, 2410556",Orange,,,,,,,Mayor Jesus SilvaMayor Pro Tem Jennifer FitzgeraldBruce WhitakerAhmad ZahraVacancy,John Wayne International AirportSNA (Major/International)
192,Olathe,Kansas,"139,605","125,872",+10.91%,60.9,157.7,"2,225",859,38°53′03″N 94°49′10″W﻿ ,United States,,,Mayor–Council,,Michael Copeland,,59.66,0.76,"2,087,471","1,037 ft","137,472","2,100",,UTC-6 (CST),UTC-5 (CDT),"66051,66061,66062,66063",20-52575,olatheks.org,,"1857, 1868 ",,913,,Johnson,,,,,1857,,,
193,Orange,California,"139,484","136,416",+2.25%,25.4,65.8,"5,532","2,136",33°47′13″N 117°51′41″W﻿ ,United States,,,Council–Manager,,,25.80,25.36,0.44,,190 ft,"140,560","5,542.59",,UTC−08:00 (Pacific),UTC−07:00 (PDT),92856–92869,06-53980,cityoforange.org,,"April 6, 1888",,657/714,"1652765, 2411325",Orange,,,,,1869,Rick Otto,,John Wayne International AirportSNA (Major/International)
194,Thornton,Colorado,"139,436","118,772",+17.40%,35.7,92.5,"3,829","1,478",39°55′10″N 104°56′34″W﻿ ,United States,,Daniel I.J. Thornton,Home rule municipality,,Heidi K. Williams (Since 2011),36.88,35.81,1.07,,"5,351 ft","136,703","3,817.24",,UTC−7 (MST),UTC−6 (MDT),"Denver 80221, 80229, 80233, 80241, 80260Brighton 80602",08-77290,City of Thornton,,"June 12, 1956",,Both 303 and 720,0181265,Adams CountyWeld County,,,,,,Kevin Woods (Since 2017),,
195,Roseville,California,"139,117","118,788",+17.11%,43.0,111.4,"3,085","1,191",38°46′08″N 121°19′08″W﻿ ,United States,,,Council-manager,,Susan Rohan,42.99,42.99,0.00,,164 ft,"132,683","3,086.23",,UTC−8 (Pacific),UTC−7 (PDT),"95678, 95661, 95747",06-62938,www.roseville.ca.us,,"April 10, 1909",,916,"1659544, 2411000",Placer,,,,,,,,
196,Denton,Texas,"138,541","113,383",+22.19%,93.4,241.9,"1,433",553,33°13′00″N 97°08′29″W﻿ ,United States,,,Council–manager,,,89.316,87.952,1.364,,642 ft,,"1,289.1",Dentonite,UTC-6 (CST),UTC-5 (CST),,48-19972,City of Denton,,1866,,"940, 817",1334260,Denton,,,,,,Todd Hileman,Mayor Chris WattsMayor Pro Tem John RyanGerard HudspethKeely BriggsDon DuffPaul MeltzerDeb Armintor,
197,Waco,Texas,"138,183","124,805",+10.72%,89.0,230.5,"1,510",580,31°33′36″N 97°11′10″W﻿ ,United States,,,Council-manager,,,,84.2,11.3,"271,942",470 ft,,"1,350",Wacoan,UTC−6 (Central),UTC−5 (Central),76700-76799,48-76000,Waco-Texas.com,,,,254,1370701,McLennan,95.5,,,,,Wiley Stem III,Mayor Kyle DeaverAndrea J. Barefield Alice Rodriguez John Kinnaird  Dillon Meek Jim Holmes,
198,Surprise,Arizona,"138,161","117,517",+17.57%,107.9,279.5,"1,230",470,33°40′14″N 112°27′10″W﻿ ,United States of America,,,,,Skip Hall,,107.85,0.11,"4,489,109","1,175 ft","134,085","1,230.19",,UTC-7 (MST (no DST)),,"85374, 85378-85379, 85387-85388",04-71510,http://www.surpriseaz.gov,,,,623,,Maricopa,107.97,,,,,,,
199,Carrollton,Texas,"136,879","119,097",+14.93%,36.3,94.0,"3,674","1,419",32°59′18″N 96°53′59″W﻿ ,United States,,,Council-Manager,,Kevin Falconer,,36.3,0.8,"7,102,800",528 ft,,,,UTC-6 (Central),UTC-5 (Central),"75006, 75007, 75010, 75011",48-13024,http://www.cityofcarrollton.com,,,,972,1332207,"Denton, Dallas, Collin",37.1,,,,,Erin Rinehart,James Lawrence (Place 1)Mike Hennefer (Place 2)Doug Hrbacek (Place 3)Frances Cruz (Place 4)Glen Blanscet (Place 5)Young Sung (Place 6)John Sutter (Place 7),
200,West Valley City,Utah,"136,401","129,480",+5.35%,35.5,91.9,"3,847","1,485",40°41′19″N 112°00′42″W﻿ ,United States,,,,,Ron Bigelow (R),35.5,35.4,0.1,,"4,304 ft",,,,UTC−7 (Mountain (MST)),UTC−6 (MDT),,49-83470,www.wvc-ut.gov,,,,"385, 801",1437843,Salt Lake,,,,,,,,
201,Charleston,South Carolina,"136,208","120,083",+13.43%,109.0,282.3,"1,233",476,32°49′04″N 79°57′32″W﻿ ,United States,,Charles II of England,Mayor–council,,John Tecklenburg (D),,109.0,18.5,,20 ft,"134,875","1,152",Charlestonian,UTC-5 (EST),UTC-4 (EDT),"29401, 29403, 29405, 29407, 29409, 29412, 29414, 29424, 29425, 29455, 29492",45-13330,www.charleston-sc.gov,,,"548,404",843 and 854,1221516,"Charleston, Berkeley",127.5,,,,,,,
202,Warren,Michigan,"134,587","134,056",+0.40%,34.4,89.1,"3,928","1,517",42°29′34″N 83°01′30″W﻿ ,United States,1830,,Strong mayor,,James R. Fouts (I),34.43,34.36,0.07,,627 ft,"135,022","3,929.63",,UTC-5 (Eastern (EST)),UTC-4 (EDT),"48088, 48089, 48090, 48091, 48092, 48093, 48397",26-84000,Official website,,1893 (village)1957 (city),,586,1615781,Macomb,,,,,,,,
203,Hampton,Virginia,"134,313","137,436",−2.27%,51.5,133.4,"2,629","1,015",37°02′53″N 76°17′50″W﻿ ,United States,1610,,,,Donnie Tuck (D) ,,51.41,84.85,"1,674,498",10 ft,"134,669","2,619.71",,UTC-5 (EST),UTC-4 (EDT),,51-35000,http://www.hampton.gov,,1705,,757,1495650,None (Independent city),,,,,,,,
204,Gainesville,Florida,"133,857","124,354",+7.64%,62.3,161.4,"2,112",815,29°40′44″N 82°20′46″W﻿ ,United States,1854,,Council-manager,,Lauren Poe (D),,62.32,1.17,"288,212",151 ft,"133,857","2,111.50",,UTC−5 (EST),UTC−4 (EDT),"32601–32614, 32627, 32635, 32641, 32653",12-25175,www.cityofgainesville.org,"399,485 (US: 99th)","April 14, 1869","187,781",352,0282874,Alachua,63.49,,,,,Anthony Lyons,,
205,Visalia,California,"133,800","124,442",+7.52%,37.5,97.1,"3,495","1,349",36°19′38″N 119°19′44″W﻿ ,United States,,,Council-Manager,,,37.49,37.47,0.02,,331 ft,"136,246","3,497.73",Visalian,UTC-8 (PST),UTC-7 (PDT),"93277-93279, 93290-93292",06-82954,www.ci.visalia.ca.us,,"February 27, 1874",,559,"1652807, 2412160",Tulare,,,,,,Randy Groom,Mayor Warren GublerVice‑Mayor Bob LinkSteve NelsonGreg CollinsPhil Cox,
206,Coral Springs,Florida,"133,507","121,096",+10.25%,23.8,61.6,"5,465","2,110",26°16′15″N 80°15′33″W﻿ ,United States of America,,,Commission-Manager,,,23.99,22.86,1.12,,13 ft,"133,037","5,818.62",,UTC-5 (EST),UTC-4 (EDT),,12-14400,www.CoralSprings.org,,"July 10, 1963",,754 and 954,0307614,Broward,,,,,,Michael Goodrum,,
207,Columbia,South Carolina,"133,451","129,272",+3.23%,133.5,345.8,"1,006",388,34°01′45″N 80°53′53″W﻿ ,United States,,Christopher Columbus,,,Stephen K. Benjamin (D),134.9,132.2,2.7,,292 ft,"134,309",977.8,,UTC-5 (Eastern (EST)),UTC-4 (EDT),"29201, 29203-6, 29209-10, 29212, 29223, 29225, 29229",45-16000,www.columbiasc.net,,,"549,777",803,1245051,"Richland, Lexington",,,,,,,,
208,Cedar Rapids,Iowa,"133,174","126,326",+5.42%,70.8,183.4,"1,852",715,41°58′01″N 91°40′40″W﻿ ,United States,,,Home Rule,,Brad Hart (R),,70.8,1.27,"257,940",810 ft,"132,228","1,800",,UTC-6 (CST),UTC-5 (CDT),"52227, 52228, 52233, 52324, 52338, 52401-11, 52497-99",19-12000,cedar-rapids.org,,1849,"177,844",319,0465941,Linn,72.07,,,,,,,
209,Sterling Heights,Michigan,"132,964","129,699",+2.52%,36.5,94.5,"3,628","1,401",42°34′52″N 83°01′49″W﻿ ,United States,,,Council–manager,,Michael C. Taylor,36.72,36.43,0.29,,614 ft,"132,631","3,640.71",,UTC−5 (Eastern (EST)),UTC−4 (EDT),"48310, 48311, 48312, 48313, 48314",26-76460,Official website,,1968 (city),,586,0638798,Macomb,,,,,,Mark D. Vanderpool,,
210,New Haven,Connecticut,"130,418","129,779",+0.49%,18.7,48.4,"6,948","2,683",41°18′39″N 72°55′30″W﻿ ,United States,,,Mayor–board of aldermen,,Toni Harp (D),,18.7,1.4,"862,477",59 ft,"129,934","6,500",New Havener,UTC−5 (Eastern),UTC−4 (Eastern),06501–06540,09-52000,www.newhavenct.gov,,1784,,203/475,0209231,New Haven,20.1,,,,,,,
211,Stamford,Connecticut,"129,775","122,643",+5.82%,37.6,97.4,"3,434","1,326",41°04′48″N 73°32′46″W﻿ ,United States,,,Mayor-Board of representatives,,David Martin (D),,37.7,14.3,"916,829",23 ft,"131,000","3,180","Stamfordian, Stamfordite",UTC-5 (Eastern),UTC-4 (Eastern),069xx,09-73000,www.stamfordct.gov,,1893,465,203/475,0211129,Fairfield,52.1,,,,,,,
